CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade SUS por Município e Ano/mês compet.
Leitos complementares: UTI adulto II COVID-19
Período:2020-2022
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev"
"210140 BALSAS";-;-;-;-;-;6;6;6;-;-;-;18;18;18;18;18;2;5;5;5;5;5;5
"210160 BARRA DO CORDA";-;9;9;9;9;9;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"210170 BARREIRINHAS";-;-;-;-;-;-;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"210300 CAXIAS";-;10;20;20;-;18;18;18;8;8;18;24;34;32;32;32;24;24;24;18;18;18;18
"210320 CHAPADINHA";-;-;-;-;-;-;-;-;-;-;-;-;12;12;12;12;12;-;-;-;-;-;-
"210360 COROATA";10;10;10;-;-;-;-;-;-;-;-;12;12;12;12;12;12;12;12;12;12;12;12
"210480 GRAJAU";-;-;-;-;-;-;10;10;10;-;-;-;10;10;10;10;21;21;10;10;10;10;10
"210530 IMPERATRIZ";10;10;10;-;-;10;10;10;-;-;20;60;61;51;51;51;30;30;30;10;10;10;10
"210570 LAGO DA PEDRA";-;-;-;-;-;5;5;5;-;-;5;9;10;5;10;10;10;5;5;5;-;-;-
"210845 PERITORO";-;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"210860 PINHEIRO";-;-;-;-;-;-;-;-;-;-;-;10;20;25;25;25;13;13;13;8;8;8;8
"210910 PRESIDENTE DUTRA";10;10;10;-;-;6;16;16;16;-;10;10;10;10;10;10;10;10;10;10;10;10;10
"210990 SANTA INES";-;-;-;-;-;-;-;-;-;-;-;20;20;20;20;20;8;12;12;10;10;10;10
"211003 SANTA LUZIA DO PARUA";-;-;-;-;-;-;-;-;-;-;-;8;10;10;10;10;10;10;-;-;-;-;-
"211130 SAO LUIS";70;133;139;129;10;16;76;76;70;-;18;191;223;227;238;212;161;135;125;40;30;30;30
"211220 TIMON";10;10;10;-;-;-;10;10;10;-;10;20;20;20;20;20;20;10;10;10;10;10;10
"220190 BOM JESUS";-;-;-;-;-;-;-;-;-;-;-;9;9;9;9;9;9;9;9;9;9;9;9
"220390 FLORIANO";-;-;-;-;-;-;-;-;-;-;15;15;5;5;5;5;20;15;15;15;15;15;15
"220700 OEIRAS";10;10;10;10;-;-;-;-;5;5;5;10;10;10;10;10;10;10;10;10;10;10;10
"220770 PARNAIBA";-;-;21;21;31;10;10;5;10;10;15;5;25;35;35;35;20;20;20;10;10;10;10
"220800 PICOS";10;10;20;20;20;-;-;-;-;-;-;-;20;20;20;20;20;20;20;20;20;20;20
"220840 PIRIPIRI";-;10;10;10;10;-;-;-;-;-;-;15;15;15;15;20;20;10;10;10;10;10;10
"221060 SAO RAIMUNDO NONATO";-;-;15;15;15;-;-;-;15;15;15;15;20;20;20;20;10;10;10;-;-;-;-
"221100 TERESINA";-;57;57;205;205;133;63;98;103;108;10;200;218;218;218;218;198;198;108;108;108;50;50
"230110 ARACATI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"230120 ARACOIABA";-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;10;10;10;10;-;-;-;-
"230190 BARBALHA";-;-;-;15;15;10;-;15;5;10;-;20;25;25;25;25;25;25;10;10;10;10;10
"230250 BREJO SANTO";-;7;7;7;7;7;-;7;7;7;7;10;10;10;10;10;10;10;10;10;10;10;10
"230280 CANINDE";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"230370 CAUCAIA";-;9;9;14;14;14;-;-;-;-;-;10;10;20;20;20;20;10;10;5;5;5;5
"230410 CRATEUS";-;10;10;10;10;10;-;-;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20
"230420 CRATO";-;-;-;-;-;-;-;-;-;-;-;-;10;10;20;20;20;20;20;20;20;20;20
"230428 EUSEBIO";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;5;-;-;-;-
"230440 FORTALEZA";140;220;220;291;181;87;6;16;78;68;72;376;476;481;485;485;475;327;72;36;20;20;20
"230540 ICO";-;-;-;10;10;10;10;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"230550 IGUATU";-;10;10;20;10;20;20;10;-;-;-;-;30;30;30;30;30;30;10;10;10;10;10
"230640 ITAPIPOCA";-;10;10;17;17;17;17;17;17;17;17;37;50;50;50;50;50;50;50;30;30;30;30
"230730 JUAZEIRO DO NORTE";20;35;35;35;-;29;29;29;29;29;29;61;61;61;61;61;61;61;8;3;3;3;3
"230760 LIMOEIRO DO NORTE";-;-;-;-;10;10;-;10;10;-;10;20;20;20;20;20;20;20;10;10;10;10;10
"230765 MARACANAU";-;5;5;9;9;9;-;-;5;5;5;20;30;30;30;30;30;30;15;10;10;10;10
"230770 MARANGUAPE";-;-;-;-;-;-;-;-;5;5;5;5;5;10;10;10;10;5;5;-;-;-;-
"231130 QUIXADA";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"231140 QUIXERAMOBIM";20;20;20;-;-;-;-;20;20;-;20;52;56;56;56;56;56;56;10;10;10;10;10
"231160 REDENCAO";-;-;-;-;5;5;-;-;-;-;-;5;5;5;5;5;5;5;-;-;-;-;-
"231240 SAO GONCALO DO AMARANTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8;8;8;8;-;-;-;-
"231290 SOBRAL";20;30;30;105;115;115;115;30;30;30;30;75;129;144;144;144;144;144;40;40;40;40;40
"231330 TAUA";-;-;10;10;20;20;20;20;10;10;-;20;20;20;20;20;20;20;20;20;20;20;20
"231340 TIANGUA";-;-;10;10;10;-;10;10;10;-;11;21;21;21;21;21;21;21;11;11;11;11;11
"240020 ACU";-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"240100 APODI";-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;-;-;-
"240200 CAICO";-;18;18;30;30;30;-;-;20;20;20;30;35;35;35;35;35;35;35;10;10;10;10
"240310 CURRAIS NOVOS";-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5;5
"240325 PARNAMIRIM";-;17;-;17;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"240450 GUAMARE";-;-;-;5;5;5;-;-;-;5;5;-;-;5;5;5;5;5;5;5;5;-;-
"240580 JOAO CAMARA";-;-;-;-;-;-;-;-;-;-;-;6;6;7;7;7;7;7;7;5;5;5;5
"240710 MACAIBA";-;10;10;10;10;-;5;5;5;5;5;10;10;10;10;10;10;10;10;10;-;-;-
"240800 MOSSORO";-;47;47;50;50;30;30;30;39;39;39;49;81;81;81;81;81;81;81;78;60;20;20
"240810 NATAL";10;35;49;99;90;61;25;25;51;46;46;68;121;128;139;134;134;134;134;83;73;63;63
"240940 PAU DOS FERROS";-;8;8;11;11;11;3;-;3;3;10;13;15;15;15;15;15;15;15;10;10;10;10
"241120 SANTA CRUZ";-;-;-;5;5;5;-;-;-;5;-;5;5;5;5;5;5;5;5;5;5;5;5
"241150 SANTO ANTONIO";-;-;-;-;-;-;-;-;-;-;6;6;6;6;8;8;8;8;8;3;-;-;-
"241200 SAO GONCALO DO AMARANTE";-;-;-;5;5;5;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"241260 SAO PAULO DO POTENGI";-;-;-;-;-;-;-;-;6;6;6;6;6;6;6;6;6;6;6;6;-;-;-
"250370 CAJAZEIRAS";-;11;11;11;-;-;-;-;6;6;11;11;23;23;23;23;23;23;23;23;23;23;23
"250400 CAMPINA GRANDE";-;15;40;40;25;30;39;39;39;30;44;53;53;108;108;108;108;108;108;108;108;108;108
"250750 JOAO PESSOA";-;-;40;40;51;51;51;10;38;38;43;78;93;144;190;200;200;200;140;200;200;200;200
"250890 MAMANGUAPE";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"251080 PATOS";-;16;16;16;-;-;-;-;4;4;20;20;32;32;32;32;32;32;32;32;32;32;32
"251210 POMBAL";-;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10
"251370 SANTA RITA";-;52;52;52;-;-;-;20;20;20;30;42;42;54;54;54;54;54;54;54;54;54;54
"260010 AFOGADOS DA INGAZEIRA";-;-;-;-;-;-;-;10;10;10;10;20;30;30;30;30;30;30;30;10;10;10;10
"260110 ARARIPINA";-;-;10;10;10;10;-;10;15;15;15;40;40;50;50;50;50;50;50;50;50;50;50
"260120 ARCOVERDE";5;8;8;8;8;3;3;-;8;8;8;8;20;26;26;26;26;26;26;26;26;26;26
"260190 BEZERROS";-;-;-;-;-;10;10;10;10;10;10;10;10;20;30;30;30;30;30;30;30;30;30
"260290 CABO DE SANTO AGOSTINHO";30;40;40;10;10;-;-;-;40;40;40;40;40;40;40;40;40;40;40;20;20;20;20
"260410 CARUARU";20;30;40;40;50;30;20;50;30;30;40;80;100;100;100;100;120;120;120;70;70;70;70
"260600 GARANHUNS";-;-;15;15;5;15;10;15;15;15;10;10;10;10;20;30;30;30;30;30;30;30;30
"260620 GOIANA";-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-
"260640 GRAVATA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10
"260790 JABOATAO DOS GUARARAPES";-;10;10;10;20;20;20;10;10;10;10;10;30;50;50;30;30;30;30;30;30;30;30
"260890 LIMOEIRO";-;-;-;-;-;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20
"260940 MORENO";-;-;20;12;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260960 OLINDA";10;22;22;12;12;22;10;18;18;18;18;18;28;70;80;80;80;80;80;60;50;50;50
"260990 OURICURI";-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10
"261000 PALMARES";-;-;20;20;20;-;-;-;20;20;20;20;20;20;20;20;30;30;30;20;20;20;20
"261070 PAULISTA";18;18;18;-;-;-;-;-;-;-;-;-;-;20;34;34;34;34;34;24;24;24;24
"261110 PETROLINA";5;5;5;-;-;-;-;25;25;25;25;25;52;60;70;70;70;70;70;60;60;60;60
"261160 RECIFE";130;255;381;239;166;155;89;141;257;257;249;353;534;635;625;625;609;559;464;424;386;386;386
"261220 SALGUEIRO";-;-;5;5;5;-;-;-;5;5;5;-;20;20;20;20;20;20;20;10;10;10;10
"261390 SERRA TALHADA";5;5;15;15;10;10;-;10;30;30;20;30;80;80;80;80;80;80;80;40;40;40;40
"261640 VITORIA DE SANTO ANTAO";-;-;-;-;-;10;10;10;10;10;10;10;10;20;20;20;20;20;20;10;10;10;10
"270030 ARAPIRACA";-;17;17;17;10;-;13;13;13;7;7;47;72;72;72;72;57;57;57;57;57;20;20
"270230 CORURIPE";15;15;15;-;-;-;-;-;-;-;-;5;15;15;15;15;15;15;15;15;15;15;15
"270430 MACEIO";110;115;110;113;103;103;59;-;45;55;85;173;212;212;212;212;187;187;187;187;187;113;113
"270630 PALMEIRA DOS INDIOS";-;-;-;-;-;-;-;-;-;-;6;10;10;10;10;10;10;10;10;10;10;10;10
"270670 PENEDO";-;-;-;-;7;7;7;-;-;7;7;10;10;10;10;10;10;10;10;10;10;10;10
"270730 PORTO CALVO";-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"270800 SANTANA DO IPANEMA";-;-;-;-;-;5;10;10;10;-;5;10;12;15;15;15;15;15;15;15;15;15;15
"270860 SAO MIGUEL DOS CAMPOS";7;7;7;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"270930 UNIAO DOS PALMARES";-;-;-;-;-;-;-;-;-;-;-;15;15;15;15;15;15;15;15;15;15;15;15
"280030 ARACAJU";34;34;34;24;41;53;53;48;48;48;42;84;89;97;102;107;107;72;67;30;30;30;30
"280210 ESTANCIA";-;10;10;10;31;29;29;29;34;34;34;36;59;59;59;59;18;18;18;8;-;-;-
"280350 LAGARTO";10;10;10;10;40;40;30;23;30;30;30;23;40;40;40;40;40;40;30;-;-;-;-
"290070 ALAGOINHAS";10;10;12;12;12;-;-;-;-;-;-;-;8;8;8;8;8;8;8;8;8;8;8
"290270 BARRA";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"290320 BARREIRAS";5;5;5;-;-;-;25;25;25;-;25;30;40;40;40;40;40;30;30;15;15;15;15
"290390 BOM JESUS DA LAPA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10
"290460 BRUMADO";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"290490 CACHOEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10
"290520 CAETITE";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"290570 CAMACARI";-;16;16;16;16;-;-;-;-;-;-;-;10;27;27;27;27;27;10;10;10;10;10
"290600 CAMPO FORMOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"291072 EUNAPOLIS";-;-;-;-;-;-;15;15;15;15;15;18;20;20;20;20;20;20;20;20;20;20;20
"291080 FEIRA DE SANTANA";10;10;10;-;-;-;8;28;38;30;38;53;63;73;73;73;63;33;33;5;5;5;5
"291170 GUANAMBI";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"291360 ILHEUS";-;11;31;31;31;20;50;44;44;25;49;49;61;61;61;61;61;41;41;31;31;31;31
"291460 IRECE";5;5;5;-;-;-;5;5;15;10;15;10;10;10;10;10;10;10;10;10;10;10;10
"291470 ITABERABA";-;-;-;-;-;-;15;15;15;-;15;20;20;20;20;20;20;20;20;20;20;20;20
"291480 ITABUNA";-;10;10;10;10;-;20;20;20;-;30;30;30;30;50;50;46;46;46;20;20;20;20
"291750 JACOBINA";-;-;-;-;-;-;-;-;-;-;10;10;20;20;20;20;20;20;20;20;20;20;20
"291800 JEQUIE";-;-;10;19;19;19;29;29;29;29;29;29;29;29;29;29;29;29;29;10;10;10;10
"291840 JUAZEIRO";-;-;-;-;-;-;19;19;19;-;29;29;30;30;30;30;30;20;10;10;10;10;10
"291920 LAURO DE FREITAS";-;-;-;-;-;-;-;-;-;-;-;-;20;100;110;110;110;110;100;60;60;60;60
"292400 PAULO AFONSO";-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"292530 PORTO SEGURO";-;-;6;6;6;6;-;-;-;-;-;-;20;20;20;20;20;20;20;20;20;20;20
"292600 REMANSO";-;-;10;10;10;10;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"292740 SALVADOR";50;79;327;434;470;348;149;109;256;247;317;419;569;579;629;609;519;369;349;270;270;270;270
"292870 SANTO ANTONIO DE JESUS";-;-;5;5;5;-;-;-;-;-;-;-;-;10;10;10;10;10;10;-;-;-;-
"292990 SEABRA";-;-;-;-;-;-;5;5;5;-;5;5;12;20;20;20;20;20;20;20;20;20;20
"293010 SENHOR DO BONFIM";-;-;-;-;-;-;-;-;-;-;-;-;-;20;20;20;20;20;-;10;10;10;10
"293050 SERRINHA";-;-;-;-;10;10;-;-;-;-;10;10;10;10;10;20;20;20;15;15;15;15;15
"293135 TEIXEIRA DE FREITAS";-;5;5;5;-;-;15;15;15;-;15;15;15;15;15;15;15;15;15;15;15;15;15
"293290 VALENCA";-;-;-;-;-;-;-;10;10;-;10;10;10;10;20;20;20;20;20;20;20;20;20
"293330 VITORIA DA CONQUISTA";10;20;50;50;40;30;-;30;50;20;50;40;70;70;70;70;70;40;40;39;39;39;39
"310120 AIURUOCA";-;-;-;5;5;5;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10
"310150 ALEM PARAIBA";-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5
"310160 ALFENAS";-;-;-;10;20;20;20;20;-;10;-;40;30;30;30;30;30;30;30;30;30;30;30
"310170 ALMENARA";-;-;-;-;-;-;-;-;7;7;7;10;10;10;10;10;10;10;10;10;10;10;10
"310340 ARACUAI";-;-;-;6;6;6;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"310350 ARAGUARI";-;-;-;-;-;10;20;10;10;-;-;30;30;30;30;30;30;20;20;20;20;20;20
"310400 ARAXA";-;-;-;-;-;-;-;-;-;-;-;-;7;7;10;10;10;10;10;10;10;10;10
"310420 ARCOS";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"310490 BAEPENDI";-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"310560 BARBACENA";-;-;31;31;31;-;-;-;-;16;16;26;26;30;40;40;40;40;40;40;30;20;20
"310620 BELO HORIZONTE";30;50;50;50;85;206;210;191;161;151;134;207;293;303;312;312;262;214;211;159;137;56;62
"310670 BETIM";-;-;-;60;-;100;100;100;100;100;10;100;80;130;130;130;130;130;130;40;40;40;40
"310710 BOA ESPERANCA";-;-;-;-;-;-;-;5;5;-;10;10;10;10;10;10;10;10;10;10;10;10;10
"310740 BOM DESPACHO";-;-;-;-;-;-;-;-;26;26;26;16;20;20;20;20;20;20;20;20;20;20;-
"310860 BRASILIA DE MINAS";-;-;-;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"311120 CAMPO BELO";-;-;-;-;10;10;10;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10
"311230 CAPELINHA";-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"311330 CARANGOLA";-;-;6;6;6;6;-;-;-;-;-;12;12;12;12;12;12;12;12;12;12;12;12
"311340 CARATINGA";-;-;20;20;20;-;-;-;-;40;40;-;70;70;70;70;70;70;70;70;70;70;70
"311530 CATAGUASES";-;-;-;5;5;5;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"311800 CONGONHAS";-;-;-;-;10;10;10;-;-;10;-;-;10;10;10;10;10;10;10;10;10;10;10
"311830 CONSELHEIRO LAFAIETE";-;-;-;10;27;27;27;27;-;14;14;27;27;27;27;27;27;27;27;17;17;17;17
"311860 CONTAGEM";-;-;-;31;31;31;52;60;60;39;39;70;88;80;80;80;80;40;40;40;40;30;30
"311930 COROMANDEL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5
"311940 CORONEL FABRICIANO";-;5;10;10;10;-;-;-;10;10;10;10;20;30;30;30;30;30;30;30;30;10;10
"312090 CURVELO";-;-;-;20;20;20;20;15;15;20;25;25;25;30;35;35;35;35;35;35;35;35;35
"312160 DIAMANTINA";-;-;-;10;10;10;-;-;-;-;-;20;20;20;30;30;30;30;30;30;30;30;30
"312230 DIVINOPOLIS";-;-;10;10;10;10;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10
"312510 EXTREMA";-;-;10;10;10;10;10;5;5;5;-;5;5;5;5;5;5;5;5;5;5;5;5
"312610 FORMIGA";-;-;-;12;12;12;-;-;-;-;5;10;10;10;10;10;10;10;10;10;10;10;10
"312770 GOVERNADOR VALADARES";-;-;18;66;66;48;30;36;-;58;58;58;58;58;58;58;58;58;58;48;48;40;40
"312800 GUANHAES";-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10
"312870 GUAXUPE";-;-;-;-;-;-;-;-;5;5;14;14;17;17;17;20;20;20;20;10;10;10;10
"312980 IBIRITE";-;-;-;8;8;8;8;8;-;-;-;-;20;20;20;20;20;20;20;20;-;-;-
"313130 IPATINGA";-;-;17;22;25;38;38;38;45;45;30;45;45;55;55;55;55;55;55;55;55;45;45
"313170 ITABIRA";-;-;-;-;10;10;10;10;10;10;10;10;16;16;16;16;16;16;16;16;16;16;16
"313240 ITAJUBA";-;-;-;29;29;29;29;-;-;-;5;48;48;58;58;65;71;71;71;71;71;71;71
"313310 ITANHANDU";-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10
"313330 ITAOBIM";-;-;-;-;-;-;-;-;-;6;6;10;10;10;10;10;10;10;10;10;10;10;10
"313380 ITAUNA";-;-;-;-;8;8;8;-;-;-;-;8;10;20;20;20;20;20;20;20;20;20;20
"313420 ITUIUTABA";-;-;-;-;-;-;-;-;10;10;10;19;19;19;19;19;19;19;19;19;19;19;19
"313510 JANAUBA";-;-;-;-;-;-;5;5;5;5;5;5;20;30;30;30;30;30;30;30;30;30;30
"313520 JANUARIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;-;-;-
"313620 JOAO MONLEVADE";-;-;-;-;15;15;15;15;15;15;15;-;10;10;10;10;10;10;10;10;10;10;10
"313630 JOAO PINHEIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"313670 JUIZ DE FORA";-;10;36;47;47;29;27;27;37;29;44;81;111;121;121;129;147;147;147;134;134;85;85
"313720 LAGOA DA PRATA";-;-;7;7;7;7;7;-;-;-;10;10;10;10;10;10;10;10;10;10;10;-;-
"313760 LAGOA SANTA";-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;-;-;-;-
"313820 LAVRAS";-;-;-;7;9;9;7;12;5;5;20;20;20;20;20;20;20;20;20;20;20;20;20
"313840 LEOPOLDINA";-;-;-;10;15;15;15;-;2;2;2;17;18;18;18;18;18;18;18;18;18;18;18
"313940 MANHUACU";-;-;-;10;20;20;20;-;30;30;20;40;40;30;30;30;30;30;30;30;30;30;30
"313950 MANHUMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10
"313960 MANTENA";-;-;-;-;-;-;-;-;-;-;-;-;6;6;6;6;6;6;6;6;6;6;6
"314310 MONTE CARMELO";-;-;-;8;8;8;8;-;6;6;6;6;6;20;20;20;20;20;20;20;10;10;10
"314330 MONTES CLAROS";-;-;60;60;60;46;41;18;27;27;27;71;80;109;109;109;109;109;109;81;61;15;15
"314390 MURIAE";-;-;5;5;5;5;5;5;5;5;12;12;17;17;17;17;17;17;17;17;17;17;17
"314520 NOVA SERRANA";-;-;-;-;17;17;17;-;-;-;-;17;17;17;17;17;17;17;17;17;17;17;17
"314560 OLIVEIRA";-;-;-;-;6;6;6;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;-
"314610 OURO PRETO";-;-;-;10;10;10;10;10;10;10;-;-;20;20;20;20;20;20;20;10;10;10;10
"314710 PARA DE MINAS";-;-;-;20;20;20;20;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20
"314790 PASSOS";-;-;-;26;26;26;-;10;10;-;20;20;25;25;30;30;30;30;30;30;30;30;30
"314800 PATOS DE MINAS";10;10;10;10;10;10;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;6;6
