CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade Não SUS por Município e Ano/mês compet.
Leitos complementares: UTI adulto II COVID-19
Período:2020-2022
"Município";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov"
"150420 MARABA";-;-;40;40;40;50;40;40;40;50;50;50;70;45;40;50;50;40;40;40;40;40;40;40;50;50;50;-;-;-;-;-;-
"150442 MARITUBA";-;-;-;-;-;-;-;-;-;-;-;-;8;8;8;8;8;8;8;8;8;8;8;-;-;-;-;-;-;-;-;-;-
"150497 NOVA IPIXUNA";-;-;-;-;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-
"150550 PARAGOMINAS";-;-;-;-;-;-;-;-;-;-;-;-;14;14;14;14;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150553 PARAUAPEBAS";-;-;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;41;11;11;11;11;11;11;11;-;-;-;-;-;-
"150613 REDENCAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4;4;4;4;4;4;4;4;4;4;4;-;-;-;-;-;-
"150680 SANTAREM";-;47;20;20;20;47;20;20;20;20;24;84;67;36;31;31;24;24;24;24;24;20;20;20;65;65;30;-;-;-;-;-;-
"150810 TUCURUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;5;5;5;5;-;-;-;-;-
"150812 ULIANOPOLIS";-;6;-;-;-;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;-;-;-;-;-;-;-;-;-;-
"160027 LARANJAL DO JARI";-;5;5;5;5;5;5;5;5;5;5;7;9;9;9;9;9;8;8;8;8;8;8;8;8;8;8;-;-;-;-;-;-
"160030 MACAPA";13;27;5;5;67;45;45;35;55;61;76;86;57;38;38;38;23;23;23;23;23;23;23;23;4;4;4;-;-;-;-;-;-
"160060 SANTANA";-;1;1;1;21;21;21;1;1;1;1;1;1;21;1;1;61;61;61;21;21;41;65;65;65;65;5;-;-;-;-;-;-
"170210 ARAGUAINA";-;24;4;21;21;4;14;24;36;19;19;24;39;39;39;15;10;10;10;10;10;20;20;-;52;32;32;-;-;-;-;-;-
"170255 AUGUSTINOPOLIS";-;-;-;-;-;10;10;10;10;-;-;-;10;10;10;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"170550 COLINAS DO TOCANTINS";-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;3;3;-;-;-;-;-;-
"170950 GURUPI";-;-;1;1;1;11;11;11;11;6;6;11;14;14;14;1;1;1;1;1;1;1;1;1;27;27;27;-;-;-;-;-;-
"172065 SILVANOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-
"172100 PALMAS";-;16;-;-;33;46;46;52;67;41;41;51;81;93;104;64;34;34;34;34;34;34;34;34;79;79;79;68;8;8;8;5;5
"210005 ACAILANDIA";-;10;7;7;-;-;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"210120 BACABAL";-;-;6;6;17;17;17;11;11;11;21;18;10;10;-;-;-;-;-;10;18;18;18;18;8;8;8;-;-;-;-;-;-
"210140 BALSAS";-;-;-;-;12;12;6;6;6;12;12;18;-;-;-;-;-;16;7;7;7;7;7;7;12;12;-;-;-;-;-;-;-
"210160 BARRA DO CORDA";9;9;-;-;-;-;-;-;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"210170 BARREIRINHAS";-;-;-;-;10;10;10;5;5;5;-;-;5;5;5;3;4;4;4;4;4;4;4;4;4;4;4;-;-;-;-;-;-
"210300 CAXIAS";-;-;5;5;18;38;20;20;20;30;20;2;10;-;2;-;-;8;-;-;6;6;6;6;24;24;24;-;-;-;-;-;-
"210320 CHAPADINHA";-;-;-;-;12;12;12;12;12;12;12;12;12;16;17;17;17;17;27;27;27;27;27;27;27;27;27;-;-;-;-;-;-
"210330 CODO";-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-
"210350 COLINAS";-;-;2;2;2;2;2;2;2;2;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"210360 COROATA";-;-;4;4;12;12;12;12;12;12;12;22;10;-;-;-;-;-;-;-;-;-;-;-;12;12;12;-;-;-;-;-;-
"210408 FERNANDO FALCAO";-;-;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-;-;-;-;-;-;-;-;-;-
"210480 GRAJAU";-;-;10;10;10;10;10;-;-;-;10;10;10;-;-;-;11;-;-;11;11;11;-;-;10;10;10;-;-;-;-;-;-
"210530 IMPERATRIZ";-;10;39;39;49;49;39;39;39;49;49;60;28;10;20;10;10;31;10;10;30;30;20;20;30;30;30;-;-;-;-;-;-
"210540 ITAPECURU MIRIM";-;-;-;-;5;5;5;5;5;5;5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"210547 JENIPAPO DOS VIEIRAS";2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-;-;-;-;-;-
"210570 LAGO DA PEDRA";-;-;-;5;5;5;-;-;-;5;5;-;-;-;5;-;-;-;5;5;5;10;10;10;10;10;10;-;-;-;-;-;-
"210660 MATOES";-;-;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"210720 NINA RODRIGUES";-;-;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"210820 PEDREIRAS";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"210845 PERITORO";-;-;-;-;-;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"210860 PINHEIRO";-;-;7;12;11;11;11;11;11;11;11;11;15;9;-;-;-;12;-;-;5;5;5;5;13;13;5;-;-;-;-;-;-
"210900 PORTO FRANCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-
"210910 PRESIDENTE DUTRA";-;20;-;-;16;16;10;-;-;-;16;6;6;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"210990 SANTA INES";-;-;4;4;22;22;22;22;22;22;22;22;2;-;-;-;-;12;-;-;2;2;2;-;10;-;-;-;-;-;-;-;-
"211003 SANTA LUZIA DO PARUA";-;-;-;10;10;10;10;10;10;10;10;10;2;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-;-;-;-;-;-
"211120 SAO JOSE DE RIBAMAR";-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"211130 SAO LUIS";50;61;50;28;18;137;91;31;31;37;107;156;75;20;16;34;24;93;36;36;121;121;91;91;121;26;20;-;-;-;-;-;-
"211210 TIMBIRAS";-;-;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"211220 TIMON";-;-;-;-;20;20;20;10;10;10;20;10;-;-;-;-;-;-;10;10;10;10;-;-;10;10;10;-;-;-;-;-;-
"211280 VIANA";-;-;-;-;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"220190 BOM JESUS";-;-;-;-;-;-;-;9;9;9;9;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"220390 FLORIANO";10;10;10;10;10;10;10;10;20;20;20;5;5;15;15;15;15;-;5;5;5;5;5;5;20;20;20;-;-;-;-;-;-
"220700 OEIRAS";16;6;-;-;-;10;10;10;6;1;5;5;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"220770 PARNAIBA";20;20;20;20;20;10;20;20;10;5;5;18;28;15;5;5;5;20;5;5;15;15;15;15;25;25;25;-;-;-;-;-;-
"220800 PICOS";10;-;-;-;-;-;20;20;20;20;20;20;20;-;-;-;-;-;-;-;-;-;-;-;20;20;20;-;-;-;-;-;-
"220840 PIRIPIRI";9;9;-;-;-;-;10;10;10;10;10;10;-;-;5;5;-;-;10;10;10;10;10;10;20;20;20;20;-;-;-;-;-
"221060 SAO RAIMUNDO NONATO";5;5;5;-;-;-;15;15;20;5;5;5;5;-;-;-;-;10;10;10;20;20;10;10;-;-;-;-;-;-;-;-;-
"221100 TERESINA";144;142;138;172;24;24;96;166;111;106;94;247;48;30;30;30;30;50;50;140;140;140;198;198;248;248;248;198;198;130;40;10;-
"230110 ARACATI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"230120 ARACOIABA";-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230190 BARBALHA";-;5;15;15;-;-;5;15;-;10;10;20;5;-;-;-;-;-;-;15;15;15;20;20;30;30;30;-;-;-;-;-;-
"230210 BATURITE";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230220 BEBERIBE";-;-;-;-;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230250 BREJO SANTO";-;7;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-
"230280 CANINDE";-;-;-;10;10;10;10;10;10;10;10;10;10;20;10;10;10;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-
"230370 CAUCAIA";-;10;5;5;-;-;-;9;5;5;5;20;10;10;-;-;-;-;10;10;15;15;15;15;20;20;-;-;-;-;-;-;-
"230410 CRATEUS";-;10;-;-;-;-;-;10;10;-;-;-;-;-;20;20;20;20;20;20;20;20;20;20;40;40;40;-;-;-;-;-;-
"230420 CRATO";-;-;-;5;5;5;5;5;5;5;5;5;5;15;10;-;-;-;-;-;-;-;-;-;20;20;20;-;-;-;-;-;-
"230428 EUSEBIO";-;-;12;12;12;12;12;12;12;12;12;10;10;10;-;-;-;-;-;5;10;10;10;10;10;10;10;-;-;-;-;-;-
"230440 FORTALEZA";292;410;177;177;117;227;321;276;266;172;165;297;163;67;39;35;35;45;185;286;242;242;338;338;292;-;-;-;-;-;-;-;-
"230500 GUARACIABA DO NORTE";-;-;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230523 HORIZONTE";-;-;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230540 ICO";10;10;10;10;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;15;15;-;-;-;-;-;-
"230550 IGUATU";29;30;20;10;10;20;10;10;20;30;30;30;30;-;-;-;-;-;-;10;10;10;10;10;20;20;20;-;-;-;-;-;-
"230640 ITAPIPOCA";10;10;7;7;-;-;-;-;-;-;-;20;10;-;-;-;-;-;-;-;20;20;20;20;50;50;-;-;-;-;-;-;-
"230730 JUAZEIRO DO NORTE";-;15;-;29;29;64;35;2;2;2;2;8;-;-;7;2;2;-;-;2;7;7;7;7;10;-;-;-;-;-;-;-;-
"230760 LIMOEIRO DO NORTE";-;10;10;10;10;-;-;10;-;-;10;10;-;-;10;10;10;10;10;10;-;-;10;10;10;-;-;-;-;-;-;-;-
"230765 MARACANAU";-;5;4;4;-;-;-;9;9;4;4;4;10;-;-;-;-;-;-;-;5;5;5;5;15;15;-;-;-;-;-;-;-
"230770 MARANGUAPE";-;-;10;10;10;10;10;10;10;5;5;5;5;5;-;-;-;-;5;5;10;10;10;10;10;10;10;-;-;-;-;-;-
"230960 PACAJUS";-;-;6;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231050 PEDRA BRANCA";-;-;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-;-;-;-;-;-
"231130 QUIXADA";-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"231140 QUIXERAMOBIM";-;-;-;-;20;20;20;20;-;-;10;32;4;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-;-;-
"231160 REDENCAO";-;-;5;-;5;-;-;5;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231220 SANTA QUITERIA";-;-;-;-;-;-;-;-;-;-;-;-;12;12;12;12;12;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231230 SAO BENEDITO";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231240 SAO GONCALO DO AMARANTE";-;-;-;8;8;8;8;8;8;8;8;8;18;10;10;2;2;2;2;2;10;10;2;2;2;2;2;-;-;-;-;-;-
"231290 SOBRAL";11;27;55;75;-;-;-;-;20;20;20;45;54;15;-;-;5;5;5;35;35;35;15;15;55;5;5;-;-;-;-;-;-
"231330 TAUA";1;10;10;-;-;-;-;-;-;10;10;20;-;-;-;-;-;-;-;-;-;-;-;-;20;20;-;-;-;-;-;-;-
"231340 TIANGUA";-;24;24;14;14;14;24;14;14;14;10;9;-;-;-;-;-;-;-;-;-;-;-;-;11;11;11;-;-;-;-;-;-
"240020 ACU";-;-;-;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-
"240100 APODI";-;-;-;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-;-;-;5;5;5;5;5;5;-;-;-;-;-;-
"240200 CAICO";15;20;-;12;-;-;-;30;30;10;10;15;5;-;-;-;-;-;-;-;25;25;-;-;10;-;-;-;-;-;-;-;-
"240310 CURRAIS NOVOS";10;10;10;5;5;5;5;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;-;-;-;-;-;-
"240325 PARNAMIRIM";7;18;-;17;-;7;7;7;7;7;7;7;7;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"240450 GUAMARE";-;-;5;5;-;-;-;5;5;5;-;-;5;5;-;-;-;-;-;-;-;-;5;5;5;5;5;-;-;-;-;-;-
"240580 JOAO CAMARA";-;-;-;5;5;5;5;5;5;5;5;10;4;4;3;3;3;3;3;3;5;5;-;5;5;5;5;-;-;-;-;-;-
"240710 MACAIBA";10;10;-;-;-;-;10;5;5;5;5;9;4;4;11;7;7;7;7;7;7;17;17;17;17;17;17;7;-;-;-;-;-
"240720 MACAU";-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"240800 MOSSORO";20;65;40;28;25;25;45;40;29;30;30;39;34;2;2;2;2;2;2;2;5;23;63;63;70;62;62;-;-;-;-;-;-
"240810 NATAL";59;121;137;123;88;104;133;169;142;91;96;147;190;142;138;137;137;132;120;120;171;136;123;123;136;126;126;49;24;-;-;-;-
"240940 PAU DOS FERROS";4;7;10;3;-;-;-;8;11;8;7;3;2;-;-;-;-;-;-;-;5;5;1;1;-;-;-;-;-;-;-;-;-
"241120 SANTA CRUZ";-;22;22;22;17;17;17;22;22;22;17;22;17;17;17;17;17;17;17;17;17;17;17;17;22;22;22;-;-;-;-;-;-
"241150 SANTO ANTONIO";-;-;5;5;5;-;-;-;-;-;-;2;2;2;3;1;1;1;1;1;5;-;-;-;-;-;-;-;-;-;-;-;-
"241200 SAO GONCALO DO AMARANTE";30;30;30;40;35;5;5;10;10;-;-;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"241260 SAO PAULO DO POTENGI";-;-;-;-;6;6;6;6;6;-;-;4;4;4;4;4;4;4;4;4;4;10;3;3;3;3;-;-;-;-;-;-;-
"250370 CAJAZEIRAS";-;9;5;5;5;11;11;11;11;5;5;12;12;-;-;-;-;-;-;-;-;-;-;-;23;23;23;-;-;-;-;-;-
"250400 CAMPINA GRANDE";-;30;35;44;44;59;54;45;45;45;54;89;100;100;45;45;45;45;45;45;45;45;33;33;141;141;141;-;-;-;-;-;-
"250750 JOAO PESSOA";-;-;26;36;36;25;30;30;71;43;70;91;71;76;65;19;9;9;9;8;8;8;8;8;208;196;196;-;-;-;-;-;-
"250890 MAMANGUAPE";-;-;-;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"250970 MONTEIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"251080 PATOS";-;10;-;-;-;16;16;16;16;12;12;6;12;-;-;-;-;-;-;-;-;-;-;-;32;32;32;-;-;-;-;-;-
"251130 PIANCO";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;7;7;7;7;7;7;7;7;7;7;7;7;-;-;-;-;-;-
"251210 POMBAL";-;5;-;-;-;5;5;5;5;5;5;5;5;5;5;5;10;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"251370 SANTA RITA";4;20;-;-;-;52;52;52;32;32;32;22;10;18;6;6;6;6;6;6;6;6;6;6;60;60;60;-;-;-;-;-;-
"260010 AFOGADOS DA INGAZEIRA";-;-;-;-;-;10;10;10;-;10;10;10;10;-;-;-;-;-;-;-;20;20;20;20;30;30;30;-;-;-;-;-;-
"260040 AGUA PRETA";-;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"260110 ARARIPINA";-;10;10;-;10;10;10;20;10;15;15;45;20;22;10;10;10;-;-;-;-;-;-;-;50;50;50;-;-;-;-;-;-
"260120 ARCOVERDE";-;-;-;-;-;-;5;5;8;-;-;-;22;10;4;4;4;4;4;4;4;4;4;4;30;30;30;-;-;-;-;-;-
"260140 BARREIROS";-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-
"260190 BEZERROS";-;-;-;10;10;10;-;-;-;-;-;10;10;10;10;-;-;-;-;-;-;-;-;-;30;30;30;-;-;-;-;-;-
"260290 CABO DE SANTO AGOSTINHO";30;-;-;-;30;30;40;40;40;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;20;20;20;-;-;-;-;-;-
"260410 CARUARU";-;30;20;20;20;10;30;40;10;30;30;20;60;20;30;30;20;10;10;10;60;60;60;60;130;130;120;-;-;-;-;-;-
"260600 GARANHUNS";20;20;30;15;15;25;15;20;15;15;15;15;15;25;25;25;15;15;15;15;15;15;15;15;45;45;35;-;-;-;-;-;-
"260620 GOIANA";-;-;10;10;10;10;10;10;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;18;18;18;-;-;-;-;-;-
"260640 GRAVATA";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;10;10;10;10;20;20;20;-;-;-;-;-;-
"260790 JABOATAO DOS GUARARAPES";-;20;10;10;-;-;-;-;10;20;20;20;40;20;10;10;10;-;-;-;-;-;-;-;30;30;30;-;-;-;-;-;-
"260890 LIMOEIRO";-;-;10;10;10;10;-;-;-;-;-;-;20;10;10;10;10;10;10;10;10;10;10;10;30;30;30;-;-;-;-;-;-
"260940 MORENO";-;20;20;-;8;8;20;20;20;20;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260960 OLINDA";-;14;2;2;12;12;2;14;6;6;6;6;16;6;10;-;-;-;-;-;20;20;60;60;110;110;110;-;-;-;-;-;-
