CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade existente por Município e Ano/mês compet.
Leitos complementares: UTI adulto II COVID-19
Período:2020-2022
"Município";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov"
"130002 ALVARAES";-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130070 BOCA DO ACRE";-;-;-;6;6;6;6;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130080 BORBA";-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"130100 CARAUARI";-;-;-;-;3;3;3;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130120 COARI";-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-;-;-;-
"130230 JUTAI";-;-;-;2;2;2;-;2;2;2;2;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130240 LABREA";2;2;2;2;2;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130250 MANACAPURU";-;-;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130260 MANAUS";-;224;254;211;196;172;172;183;148;203;298;293;360;340;340;340;340;340;304;253;211;201;202;202;202;37;36;-;-;-;-;-;-
"130330 NOVO ARIPUANA";-;-;-;4;4;4;4;4;4;4;4;4;4;-;-;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130356 RIO PRETO DA EVA";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130423 TONANTINS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"140010 BOA VISTA";-;-;20;20;20;42;42;42;42;20;62;90;90;90;90;54;54;54;54;54;54;54;54;54;-;-;-;-;-;-;-;-;-
"140047 RORAINOPOLIS";-;-;-;-;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-
"150010 ABAETETUBA";-;-;-;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-;-;-;-;-;-
"150060 ALTAMIRA";-;-;10;10;10;10;8;8;8;8;8;8;30;30;30;30;30;30;30;30;30;30;30;30;-;-;-;-;-;-;-;-;-
"150080 ANANINDEUA";-;36;36;36;36;36;36;36;36;36;36;46;49;49;38;38;38;38;35;35;35;35;34;34;34;34;34;-;-;-;-;-;-
"150130 BARCARENA";-;2;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150140 BELEM";-;129;268;399;191;191;155;155;90;90;90;90;211;228;245;233;233;233;233;233;225;130;111;111;94;46;46;26;9;-;-;-;-
"150170 BRAGANCA";-;-;30;30;30;30;30;30;30;30;30;10;10;20;20;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-
"150180 BREVES";-;5;23;24;24;24;24;23;23;23;18;18;25;25;25;25;18;18;18;18;18;18;18;18;18;18;18;-;-;-;-;-;-
"150210 CAMETA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;8;8;8;8;8;8;8;-;-;-;-;-;-
"150220 CAPANEMA";-;-;40;40;43;43;43;43;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150240 CASTANHAL";-;-;-;6;6;18;18;12;12;12;12;52;52;62;72;72;72;72;72;72;32;32;32;30;-;-;-;-;-;-;-;-;-
"150270 CONCEICAO DO ARAGUAIA";-;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;-;-;-;-;-;-
"150293 DOM ELISEU";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;12;12;12;12;12;12;12;12;2;-;-;-;-;-;-
"150330 IGARAPE-MIRI";-;-;-;-;-;-;-;-;-;-;-;-;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-;-
"150360 ITAITUBA";10;10;10;10;10;10;10;10;10;10;10;10;10;85;85;85;85;85;85;85;85;85;85;85;85;-;-;-;-;-;-;-;-
"150390 JURUTI";-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"150420 MARABA";-;-;50;50;50;50;50;50;50;50;50;50;70;70;65;75;75;75;75;75;75;75;75;75;50;50;50;-;-;-;-;-;-
"150442 MARITUBA";-;-;-;-;-;-;-;-;-;-;-;-;8;8;8;8;8;8;8;8;8;8;8;-;-;-;-;-;-;-;-;-;-
"150497 NOVA IPIXUNA";-;-;-;-;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-
"150550 PARAGOMINAS";-;-;-;-;-;-;-;-;-;-;-;-;14;14;14;14;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150553 PARAUAPEBAS";-;-;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;41;11;11;11;11;11;11;11;-;-;-;-;-;-
"150613 REDENCAO";-;-;-;-;-;-;-;-;-;-;-;-;-;21;21;25;25;25;25;25;25;25;25;25;4;4;4;-;-;-;-;-;-
"150680 SANTAREM";-;47;47;47;47;47;20;20;20;20;24;84;74;88;76;76;69;69;69;69;69;65;65;65;65;65;30;-;-;-;-;-;-
"150810 TUCURUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-
"150812 ULIANOPOLIS";-;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;-;-;-;-;-;-;-;-;-;-
"160027 LARANJAL DO JARI";-;5;5;5;5;5;5;5;5;5;5;7;9;9;9;9;9;8;8;8;8;8;8;8;8;8;8;-;-;-;-;-;-
"160030 MACAPA";13;27;37;37;67;77;45;35;55;61;76;86;123;123;123;123;108;108;108;108;108;23;23;23;4;4;4;-;-;-;-;-;-
"160060 SANTANA";-;1;1;1;21;21;21;1;1;1;1;1;1;21;1;1;61;61;61;21;21;41;65;65;65;65;5;-;-;-;-;-;-
"170210 ARAGUAINA";-;24;24;41;41;41;41;41;41;46;46;46;56;56;56;57;72;72;72;72;72;72;72;52;52;32;32;-;-;-;-;-;-
"170255 AUGUSTINOPOLIS";-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"170550 COLINAS DO TOCANTINS";-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;3;3;-;-;-;-;-;-
"170950 GURUPI";-;-;1;1;1;11;11;11;11;11;11;11;19;19;19;27;27;27;27;27;27;27;27;27;27;27;27;-;-;-;-;-;-
"171820 PORTO NACIONAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-
"172065 SILVANOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-
"172100 PALMAS";-;16;16;16;49;92;92;82;82;92;92;92;96;108;119;119;119;119;119;119;119;119;119;119;79;79;79;68;8;8;8;5;5
"210005 ACAILANDIA";-;10;17;17;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"210120 BACABAL";-;-;6;6;17;17;17;17;17;17;21;18;21;21;21;18;18;18;18;18;18;18;18;18;8;8;8;-;-;-;-;-;-
"210140 BALSAS";-;-;-;-;12;12;12;12;12;12;12;18;18;18;18;18;18;18;12;12;12;12;12;12;12;12;-;-;-;-;-;-;-
"210160 BARRA DO CORDA";9;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"210170 BARREIRINHAS";-;-;-;-;10;10;10;10;10;10;-;-;5;5;5;3;4;4;4;4;4;4;4;4;4;4;4;-;-;-;-;-;-
"210300 CAXIAS";-;-;15;25;38;38;38;38;38;38;28;20;34;34;34;32;32;32;24;24;24;24;24;24;24;24;24;-;-;-;-;-;-
"210320 CHAPADINHA";-;-;-;-;12;12;12;12;12;12;12;12;12;28;29;29;29;29;27;27;27;27;27;27;27;27;27;-;-;-;-;-;-
"210330 CODO";-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-
"210350 COLINAS";-;-;2;2;2;2;2;2;2;2;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"210360 COROATA";-;10;14;14;12;12;12;12;12;12;12;22;22;12;12;12;12;12;12;12;12;12;12;12;12;12;12;-;-;-;-;-;-
"210408 FERNANDO FALCAO";-;-;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-;-;-;-;-;-;-;-;-;-
"210480 GRAJAU";-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;21;21;21;21;21;21;10;10;10;10;10;-;-;-;-;-;-
"210530 IMPERATRIZ";-;20;49;49;49;49;49;49;49;49;49;80;88;71;71;61;61;61;40;40;40;40;30;30;30;30;30;-;-;-;-;-;-
"210540 ITAPECURU MIRIM";-;-;-;-;5;5;5;5;5;5;5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"210547 JENIPAPO DOS VIEIRAS";2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-;-;-;-;-;-
"210570 LAGO DA PEDRA";-;-;-;5;5;5;5;5;5;5;5;5;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"210660 MATOES";-;-;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"210720 NINA RODRIGUES";-;-;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"210820 PEDREIRAS";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"210845 PERITORO";-;-;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"210860 PINHEIRO";-;-;7;12;11;11;11;11;11;11;11;11;25;29;25;25;25;25;13;13;13;13;13;13;13;13;5;-;-;-;-;-;-
"210900 PORTO FRANCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-
"210910 PRESIDENTE DUTRA";-;30;10;10;16;16;16;16;16;16;16;16;16;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"210990 SANTA INES";-;-;4;4;22;22;22;22;22;22;22;22;22;20;20;20;20;20;12;12;12;12;12;10;10;-;-;-;-;-;-;-;-
"211003 SANTA LUZIA DO PARUA";-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-
"211120 SAO JOSE DE RIBAMAR";-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"211130 SAO LUIS";50;131;183;167;147;147;107;107;107;107;107;174;266;243;243;272;236;254;171;161;161;151;121;121;121;26;20;-;-;-;-;-;-
"211210 TIMBIRAS";-;-;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"211220 TIMON";-;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;10;10;10;10;10;-;-;-;-;-;-
"211280 VIANA";-;-;-;-;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"220190 BOM JESUS";-;-;-;-;-;-;-;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;-;-;-;-;-;-;-;-;-
"220390 FLORIANO";10;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"220700 OEIRAS";16;16;10;10;10;10;10;10;6;6;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"220770 PARNAIBA";20;20;20;41;41;41;30;30;15;15;15;33;33;40;40;40;40;40;25;25;25;25;25;25;25;25;25;-;-;-;-;-;-
"220800 PICOS";10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"220840 PIRIPIRI";9;9;10;10;10;10;10;10;10;10;10;10;15;15;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-
"221060 SAO RAIMUNDO NONATO";5;5;5;15;15;15;15;15;20;20;20;20;20;20;20;20;20;20;20;20;20;20;10;10;-;-;-;-;-;-;-;-;-
"221100 TERESINA";144;142;195;229;229;229;229;229;209;209;202;257;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;198;198;130;40;10;-
"230110 ARACATI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"230120 ARACOIABA";-;-;-;-;-;-;-;-;-;-;-;5;5;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-
"230190 BARBALHA";-;5;15;15;15;15;15;15;15;15;20;20;25;25;25;25;25;25;25;25;25;25;30;30;30;30;30;-;-;-;-;-;-
"230210 BATURITE";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230220 BEBERIBE";-;-;-;-;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230250 BREJO SANTO";-;7;7;7;7;7;7;7;7;7;7;7;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-
"230280 CANINDE";-;-;-;10;10;10;10;10;10;10;10;10;10;20;20;20;20;10;10;10;10;10;10;10;-;10;10;-;-;-;-;-;-
"230370 CAUCAIA";-;10;14;14;14;14;14;9;5;5;5;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-;-
"230410 CRATEUS";-;10;10;10;10;10;10;10;10;10;10;10;10;10;40;40;40;40;40;40;40;40;40;40;40;40;40;-;-;-;-;-;-
"230420 CRATO";-;-;-;5;5;5;5;5;5;5;5;5;5;25;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"230428 EUSEBIO";-;-;12;12;12;12;12;12;12;12;12;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"230440 FORTALEZA";292;550;397;397;408;408;408;282;282;250;233;369;539;543;520;520;520;520;512;358;278;262;358;358;292;-;-;-;-;-;-;-;-
"230500 GUARACIABA DO NORTE";-;-;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230523 HORIZONTE";-;-;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230540 ICO";10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;15;15;-;-;-;-;-;-
"230550 IGUATU";29;30;30;20;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"230640 ITAPIPOCA";10;10;17;17;17;17;17;17;17;17;17;37;47;50;50;50;50;50;50;50;50;50;50;50;50;50;-;-;-;-;-;-;-
"230730 JUAZEIRO DO NORTE";-;35;35;64;64;64;64;31;31;31;31;37;61;61;68;63;63;61;61;10;10;10;10;10;10;-;-;-;-;-;-;-;-
"230760 LIMOEIRO DO NORTE";-;10;10;10;10;10;10;10;10;10;10;20;20;20;30;30;30;30;30;20;10;10;20;20;10;-;-;-;-;-;-;-;-
"230765 MARACANAU";-;5;9;9;9;9;9;9;9;9;9;9;30;30;30;30;30;30;30;15;15;15;15;15;15;15;-;-;-;-;-;-;-
"230770 MARANGUAPE";-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"230960 PACAJUS";-;-;6;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231050 PEDRA BRANCA";-;-;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-;-;-;-;-;-
"231130 QUIXADA";-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"231140 QUIXERAMOBIM";-;20;20;20;20;20;20;20;20;20;10;52;56;56;56;56;56;56;56;10;10;10;20;20;10;-;-;-;-;-;-;-;-
"231160 REDENCAO";-;-;5;-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231220 SANTA QUITERIA";-;-;-;-;-;-;-;-;-;-;-;-;12;12;12;12;12;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231230 SAO BENEDITO";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231240 SAO GONCALO DO AMARANTE";-;-;-;8;8;8;8;8;8;8;8;8;18;10;10;10;10;10;10;10;10;10;2;2;2;2;2;-;-;-;-;-;-
"231290 SOBRAL";11;47;85;105;105;115;115;115;50;50;50;75;129;144;144;144;149;149;149;75;75;75;55;55;55;5;5;-;-;-;-;-;-
"231330 TAUA";1;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-;-
"231340 TIANGUA";-;24;24;24;24;24;24;24;24;24;10;20;21;21;21;21;21;21;21;11;11;11;11;11;11;11;11;-;-;-;-;-;-
"240020 ACU";-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-
"240100 APODI";-;-;-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-
"240200 CAICO";15;20;18;30;30;30;30;30;30;30;30;35;35;35;35;35;35;35;35;35;35;35;10;10;10;-;-;-;-;-;-;-;-
"240310 CURRAIS NOVOS";10;10;10;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-
"240325 PARNAMIRIM";7;18;17;17;17;17;17;17;17;17;17;17;17;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"240450 GUAMARE";-;-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-
"240580 JOAO CAMARA";-;-;-;5;5;5;5;5;5;5;5;10;10;10;10;10;10;10;10;10;10;10;5;10;5;5;5;-;-;-;-;-;-
"240710 MACAIBA";10;10;10;10;10;10;10;10;10;10;10;14;14;14;21;17;17;17;17;17;17;17;17;17;17;17;17;7;-;-;-;-;-
"240720 MACAU";-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"240800 MOSSORO";20;65;87;75;75;75;75;70;59;69;69;78;83;83;83;83;83;83;83;83;83;83;83;83;70;62;62;-;-;-;-;-;-
"240810 NATAL";59;131;172;172;187;194;194;194;167;142;142;193;258;263;266;276;271;266;254;254;254;209;186;186;136;126;126;49;24;-;-;-;-
"240940 PAU DOS FERROS";4;7;18;11;11;11;11;11;11;11;10;13;15;15;15;15;15;15;15;15;15;15;11;11;-;-;-;-;-;-;-;-;-
"241120 SANTA CRUZ";-;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;-;-;-;-;-;-
"241150 SANTO ANTONIO";-;-;5;5;5;-;-;-;-;-;-;8;8;8;9;9;9;9;9;9;8;-;-;-;-;-;-;-;-;-;-;-;-
"241200 SAO GONCALO DO AMARANTE";30;30;30;40;40;10;10;10;10;-;-;10;20;20;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-
"241260 SAO PAULO DO POTENGI";-;-;-;-;6;6;6;6;6;6;6;10;10;10;10;10;10;10;10;10;10;10;3;3;3;3;-;-;-;-;-;-;-
"250370 CAJAZEIRAS";-;9;16;16;16;11;11;11;11;11;11;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;-;-;-;-;-;-
"250400 CAMPINA GRANDE";-;30;50;84;84;84;84;84;84;84;84;133;153;153;153;153;153;153;153;153;153;153;141;141;141;141;141;-;-;-;-;-;-
"250750 JOAO PESSOA";-;-;26;76;76;76;81;81;81;81;108;134;149;169;209;209;209;209;209;148;208;208;208;208;208;196;196;-;-;-;-;-;-
"250890 MAMANGUAPE";-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"250970 MONTEIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"251080 PATOS";-;10;16;16;16;16;16;16;16;16;16;26;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;-;-;-;-;-;-
"251130 PIANCO";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;7;7;7;7;7;7;7;7;7;7;7;7;-;-;-;-;-;-
"251210 POMBAL";-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"251370 SANTA RITA";4;20;52;52;52;52;52;52;52;52;52;52;52;60;60;60;60;60;60;60;60;60;60;60;60;60;60;-;-;-;-;-;-
"260010 AFOGADOS DA INGAZEIRA";-;-;-;-;-;10;10;10;10;20;20;20;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;-;-;-;-;-;-
"260040 AGUA PRETA";-;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"260110 ARARIPINA";-;10;10;10;20;20;20;20;20;30;30;60;60;62;60;60;60;50;50;50;50;50;50;50;50;50;50;-;-;-;-;-;-
"260120 ARCOVERDE";-;5;8;8;8;8;8;8;8;8;8;8;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;-;-;-;-;-;-
"260140 BARREIROS";-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-
"260190 BEZERROS";-;-;-;10;10;10;10;10;10;10;10;20;20;20;30;30;30;30;30;30;30;30;30;30;30;30;30;-;-;-;-;-;-
"260290 CABO DE SANTO AGOSTINHO";30;30;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;20;20;20;20;20;20;-;-;-;-;-;-
"260410 CARUARU";-;50;50;60;60;60;60;60;60;60;60;60;140;120;130;130;120;130;130;130;130;130;130;130;130;130;120;-;-;-;-;-;-
"260600 GARANHUNS";20;20;30;30;30;30;30;30;30;30;30;25;25;35;35;45;45;45;45;45;45;45;45;45;45;45;35;-;-;-;-;-;-
"260620 GOIANA";-;-;10;10;10;10;10;10;10;10;10;-;-;-;10;10;10;10;10;10;10;10;10;10;18;18;18;-;-;-;-;-;-
"260640 GRAVATA";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;20;20;20;20;20;20;20;-;-;-;-;-;-
"260790 JABOATAO DOS GUARARAPES";-;20;20;20;10;20;20;20;20;30;30;30;50;50;60;60;40;30;30;30;30;30;30;30;30;30;30;-;-;-;-;-;-
"260890 LIMOEIRO";-;-;10;10;10;10;10;10;10;10;10;10;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;-;-;-;-;-;-
"260940 MORENO";-;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
